****** LISTA DE ALUNOS ******
NOME: João Soares, MATRICULA: 20220000000000
NOME: José Costa, MATRICULA: 20220000000001
NOME: Lucas Alves, MATRICULA: 20220000000002
NOME: Carlos Gomes, MATRICULA: 20220000000003
NOME: João Pereira, MATRICULA: 20220000000004
NOME: Ana Pereira, MATRICULA: 20220000000005
NOME: Elena Vieira, MATRICULA: 20220000000006
NOME: Carlos Soares, MATRICULA: 20220000000007
NOME: Danilo Lopes, MATRICULA: 20220000000008
NOME: Maria Oliveira, MATRICULA: 20220000000009
NOME: Gabriel Andrade, MATRICULA: 20220000000010
NOME: Pedro Ribeiro, MATRICULA: 20220000000011
NOME: Maria Gomes, MATRICULA: 20220000000012
NOME: Ana Alves, MATRICULA: 20220000000013
NOME: João Souza, MATRICULA: 20220000000014
NOME: Marcos Rodrigues, MATRICULA: 20220000000015
NOME: João Alves, MATRICULA: 20220000000016
NOME: Carlos Santos, MATRICULA: 20220000000017
NOME: João Martins, MATRICULA: 20220000000018
NOME: Fernando Ferreira, MATRICULA: 20220000000019
NOME: Pedro Soares, MATRICULA: 20220000000020
NOME: Paulo Almeida, MATRICULA: 20220000000021
NOME: Davi Silva, MATRICULA: 20220000000022
NOME: Davi Oliveira, MATRICULA: 20220000000023
NOME: Eduardo Almeida, MATRICULA: 20220000000024
NOME: Maria Gomes, MATRICULA: 20220000000025
NOME: José Oliveira, MATRICULA: 20220000000026
NOME: Marcos Almeida, MATRICULA: 20220000000027
NOME: Julia Ribeiro, MATRICULA: 20220000000028
NOME: Marcos Almeida, MATRICULA: 20220000000029
NOME: Igor Santos, MATRICULA: 20220000000030
NOME: Pedro Vieira, MATRICULA: 20220000000031
NOME: Maria Soares, MATRICULA: 20220000000032
NOME: Davi Almeida, MATRICULA: 20220000000033
NOME: João Lopes, MATRICULA: 20220000000034
NOME: Davi Souza, MATRICULA: 20220000000035
NOME: Lucas Ferreira, MATRICULA: 20220000000036
NOME: Julia Pereira, MATRICULA: 20220000000037
NOME: Danilo Santos, MATRICULA: 20220000000038
NOME: Elena Almeida, MATRICULA: 20220000000039
NOME: José Ferreira, MATRICULA: 20220000000040
NOME: Maria Pereira, MATRICULA: 20220000000041
NOME: Danilo Martins, MATRICULA: 20220000000042
NOME: Fernando Ribeiro, MATRICULA: 20220000000043
NOME: Danilo Lima, MATRICULA: 20220000000044
NOME: Elena Soares, MATRICULA: 20220000000045
NOME: Maria Ferreira, MATRICULA: 20220000000046
NOME: João Lopes, MATRICULA: 20220000000047
NOME: Danilo Pereira, MATRICULA: 20220000000048
NOME: Rafaela Alves, MATRICULA: 20220000000049
NOME: Maria Costa, MATRICULA: 20220000000050
NOME: Fernando Silva, MATRICULA: 20220000000051
NOME: Carlos Lopes, MATRICULA: 20220000000052
